ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
201523_x_at,6.88E-40,1.17E-42,-19.101812,86.49517,-4.7080774,UBE2N,ubiquitin conjugating enzyme E2 N
233817_at,1.03E-39,1.80E-42,19.027569,86.07336,2.5172313,,
201912_s_at,1.07E-39,1.90E-42,-19.018398,86.02121,-3.6452588,GSPT1,G1 to S phase transition 1
242619_x_at,1.12E-39,2.02E-42,19.006992,85.95633,1.54962,,
206438_x_at,1.80E-39,3.31E-42,18.921373,85.46882,2.8408597,TCTN2,tectonic family member 2
208750_s_at,1.84E-39,3.44E-42,-18.914399,85.42908,-6.0115381,MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1
1555730_a_at,2.70E-39,5.15E-42,-18.844577,85.03078,-3.9359392,CFL1,cofilin 1
32625_at,3.73E-39,7.24E-42,18.78542,84.69286,4.344058,NPR1,natriuretic peptide receptor 1
236010_at,5.43E-39,1.07E-41,18.717231,84.3028,3.8644746,,
216333_x_at,1.03E-38,2.07E-41,18.603295,83.64978,7.1038803,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
210800_at,1.08E-38,2.21E-41,18.592578,83.58828,1.3202156,TIMM8A,translocase of inner mitochondrial membrane 8 homolog A (yeast)
235335_at,1.44E-38,2.98E-41,18.540697,83.29034,2.7507884,ABCA9,ATP binding cassette subfamily A member 9
244612_at,3.25E-38,6.85E-41,18.3975,82.46628,2.8725355,,
219398_at,5.90E-38,1.26E-40,18.292076,81.858,5.4533195,CIDEC,cell death inducing DFFA like effector c
209162_s_at,5.92E-38,1.29E-40,-18.288955,81.83998,-4.4971562,PRPF4,pre-mRNA processing factor 4
224429_x_at,1.14E-37,2.54E-40,18.172457,81.16621,2.4161562,,
204754_at,1.14E-37,2.55E-40,18.171605,81.16128,4.0154312,HLF,"HLF, PAR bZIP transcription factor"
238344_at,1.62E-37,3.69E-40,18.108487,80.79554,2.1027634,,
220403_s_at,1.80E-37,4.15E-40,18.088483,80.67953,2.135773,TP53AIP1,tumor protein p53 regulated apoptosis inducing protein 1
228770_at,5.59E-37,1.31E-39,17.892345,79.53955,3.4924461,GPR146,G protein-coupled receptor 146
1563034_at,7.09E-37,1.69E-39,17.849496,79.2899,1.8183295,GPD1,glycerol-3-phosphate dehydrogenase 1
218302_at,8.56E-37,2.06E-39,-17.815132,79.08954,-4.4677114,PSENEN,presenilin enhancer gamma-secretase subunit
232313_at,9.42E-37,2.30E-39,17.796475,78.98069,2.9609277,TMEM132C,transmembrane protein 132C
1564494_s_at,2.09E-36,5.18E-39,-17.658724,78.17582,-5.7449972,P4HB,prolyl 4-hydroxylase subunit beta
201096_s_at,2.49E-36,6.24E-39,-17.627223,77.99144,-3.7204286,ARF4,ADP ribosylation factor 4
217054_at,3.51E-36,8.93E-39,17.566596,77.63629,1.6578215,MUC3A,"mucin 3A, cell surface associated"
233810_x_at,4.16E-36,1.07E-38,17.535636,77.45475,3.6446915,,
209057_x_at,6.57E-36,1.72E-38,17.456169,76.98831,3.4051942,CDC5L,cell division cycle 5 like
1569664_at,6.92E-36,1.83E-38,17.445328,76.92462,2.8090558,,
204134_at,1.03E-35,2.75E-38,17.376537,76.52017,3.3023703,PDE2A,phosphodiesterase 2A
205752_s_at,1.42E-35,3.85E-38,17.319955,76.1871,4.0107749,GSTM5,glutathione S-transferase mu 5
205878_at,1.71E-35,4.70E-38,17.286511,75.99006,2.5198269,POU6F1,POU class 6 homeobox 1
244027_at,2.15E-35,5.96E-38,17.246364,75.75337,1.8183245,,
220691_at,4.21E-35,1.18E-37,17.130994,75.07218,2.1925992,,
222521_x_at,4.23E-35,1.20E-37,17.128509,75.05749,1.8898572,NDUFC2-KCTD14///NDUFC2,NDUFC2-KCTD14 readthrough///NADH:ubiquinone oxidoreductase subunit C2
222187_x_at,5.19E-35,1.49E-37,17.092081,74.84209,1.6709234,G3BP1,G3BP stress granule assembly factor 1
1558170_at,5.45E-35,1.59E-37,17.082019,74.78256,3.9274938,,
208609_s_at,6.21E-35,1.83E-37,17.058251,74.64192,4.8403832,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
1555948_s_at,7.42E-35,2.21E-37,-17.026362,74.45312,-3.2237836,FAM120A,family with sequence similarity 120A
222329_x_at,8.78E-35,2.64E-37,16.99641,74.27568,2.4806816,,
213350_at,2.00E-34,6.10E-37,16.856567,73.44596,2.866958,RPS11,ribosomal protein S11
216702_x_at,2.31E-34,7.12E-37,16.830813,73.29293,1.413401,,
204648_at,2.40E-34,7.47E-37,16.822772,73.24514,1.9771345,NPR1,natriuretic peptide receptor 1
206262_at,2.88E-34,9.07E-37,16.790445,73.05291,3.2887157,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
213451_x_at,3.32E-34,1.06E-36,16.764968,72.90134,6.7623625,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
217695_x_at,4.07E-34,1.31E-36,16.729226,72.68859,1.471613,,
207608_x_at,4.24E-34,1.38E-36,16.721048,72.63989,1.4638595,CYP1A2,cytochrome P450 family 1 subfamily A member 2
203996_s_at,5.61E-34,1.84E-36,16.672416,72.35014,1.6889997,C21orf2,chromosome 21 open reading frame 2
213183_s_at,5.67E-34,1.88E-36,16.669023,72.32992,4.0280049,,
211349_at,5.82E-34,1.95E-36,16.663058,72.29436,1.067694,SLC15A1,solute carrier family 15 member 1
207791_s_at,6.46E-34,2.19E-36,-16.643932,72.18032,-4.0932652,RAB1A,"RAB1A, member RAS oncogene family"
232324_x_at,6.61E-34,2.26E-36,16.638638,72.14875,1.0042264,,
218866_s_at,8.44E-34,2.91E-36,-16.59641,71.89681,-3.9962349,POLR3K,RNA polymerase III subunit K
209614_at,8.68E-34,3.02E-36,16.590068,71.85895,3.4565231,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
217777_s_at,1.03E-33,3.64E-36,-16.559247,71.67493,-5.3113489,HACD3,3-hydroxyacyl-CoA dehydratase 3
200712_s_at,1.36E-33,4.82E-36,-16.512627,71.39639,-4.163392,MAPRE1,microtubule associated protein RP/EB family member 1
205824_at,1.56E-33,5.59E-36,16.487841,71.24821,3.3159335,HSPB2,heat shock protein family B (small) member 2
205923_at,1.57E-33,5.67E-36,16.485403,71.23363,4.6848459,RELN,reelin
200729_s_at,1.62E-33,5.90E-36,-16.478925,71.19489,-3.6441137,ACTR2,ARP2 actin related protein 2 homolog
202583_s_at,1.70E-33,6.26E-36,-16.469137,71.13634,-4.4959484,RANBP9,RAN binding protein 9
239959_x_at,2.21E-33,8.20E-36,16.424438,70.86886,2.8235547,,
1557866_at,2.53E-33,9.48E-36,16.40026,70.7241,1.5182718,CFAP157,cilia and flagella associated protein 157
230790_x_at,2.69E-33,1.02E-35,16.388805,70.65549,2.6913492,FOXN3,forkhead box N3
224061_at,3.21E-33,1.23E-35,16.357461,70.46769,4.2188746,INMT,indolethylamine N-methyltransferase
201399_s_at,3.21E-33,1.24E-35,-16.356354,70.46105,-4.6384792,TRAM1,translocation associated membrane protein 1
234675_x_at,3.53E-33,1.37E-35,16.33902,70.35715,2.8806495,,
206879_s_at,4.83E-33,1.89E-35,16.285808,70.03801,1.7690466,NRG2,neuregulin 2
213872_at,5.91E-33,2.34E-35,-16.251048,69.82937,-7.1926378,,
208953_at,8.25E-33,3.29E-35,-16.194718,69.49102,-3.865469,LARP4B,La ribonucleoprotein domain family member 4B
201726_at,8.80E-33,3.54E-35,-16.182579,69.41806,-2.6634789,ELAVL1,ELAV like RNA binding protein 1
210337_s_at,9.57E-33,3.88E-35,-16.167485,69.32732,-4.4474706,ACLY,ATP citrate lyase
204482_at,1.01E-32,4.12E-35,16.157199,69.26548,3.3143625,CLDN5,claudin 5
202543_s_at,1.01E-32,4.15E-35,-16.156066,69.25866,-4.3857328,GMFB,glia maturation factor beta
211494_s_at,1.09E-32,4.54E-35,16.141364,69.17025,3.3785589,SLC4A4,solute carrier family 4 member 4
208186_s_at,1.13E-32,4.73E-35,16.13473,69.13034,3.2808904,LIPE,"lipase E, hormone sensitive type"
200900_s_at,1.16E-32,4.90E-35,-16.128675,69.09392,-4.3464206,M6PR,"mannose-6-phosphate receptor, cation dependent"
201020_at,1.55E-32,6.58E-35,-16.080144,68.80184,-3.5558697,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
216331_at,1.90E-32,8.15E-35,16.044818,68.58909,3.9853353,ITGA7,integrin subunit alpha 7
1555707_at,2.00E-32,8.66E-35,16.034871,68.52916,1.0601761,TNAP,TRAFs and NIK-associated protein
216289_at,2.00E-32,8.70E-35,16.034131,68.5247,1.5297007,ADGRD2,adhesion G protein-coupled receptor D2
222399_s_at,2.17E-32,9.53E-35,-16.019172,68.43456,-3.2602025,TM9SF3,transmembrane 9 superfamily member 3
200753_x_at,2.45E-32,1.08E-34,-15.997969,68.30675,-2.947783,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2
228409_at,2.87E-32,1.28E-34,15.970628,68.14189,6.1483546,PLIN4,perilipin 4
243526_at,3.02E-32,1.35E-34,15.961343,68.08588,2.545078,WDR86,WD repeat domain 86
219140_s_at,4.24E-32,1.92E-34,15.904122,67.74055,6.9973126,RBP4,retinol binding protein 4
210338_s_at,4.32E-32,1.97E-34,-15.899956,67.7154,-3.5969213,SNORD14D///SNORD14C///HSPA8,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
215104_at,5.10E-32,2.34E-34,15.871454,67.54326,1.1838219,NRIP2,nuclear receptor interacting protein 2
220828_s_at,6.36E-32,2.94E-34,15.834119,67.31766,1.6528516,LOC55338,uncharacterized LOC55338
217919_s_at,6.47E-32,3.01E-34,-15.830025,67.29291,-4.4307378,MRPL42,mitochondrial ribosomal protein L42
201742_x_at,7.16E-32,3.36E-34,-15.812082,67.18443,-5.1027597,SRSF1,serine and arginine rich splicing factor 1
205604_at,7.63E-32,3.60E-34,15.800474,67.11425,2.024325,HOXD9,homeobox D9
1557910_at,1.05E-31,4.97E-34,-15.747653,66.79468,-6.1511849,HSP90AB1,heat shock protein 90 alpha family class B member 1
202736_s_at,1.08E-31,5.15E-34,-15.741892,66.75981,-4.1378183,LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"
200922_at,1.22E-31,5.86E-34,-15.72061,66.63097,-4.1544435,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1
1554804_a_at,1.37E-31,6.63E-34,15.700479,66.50906,1.1361309,CLDN19,claudin 19
201273_s_at,1.42E-31,6.92E-34,-15.693488,66.46671,-2.0140789,SRP9,signal recognition particle 9
201688_s_at,1.64E-31,8.09E-34,-15.667816,66.31117,-6.3111995,TPD52,tumor protein D52
244453_at,1.79E-31,8.88E-34,15.652546,66.21863,1.154275,ANKRD53,ankyrin repeat domain 53
237040_at,2.54E-31,1.27E-33,15.593977,65.86348,2.4832078,CWF19L2,"CWF19-like 2, cell cycle control (S. pombe)"
221225_at,2.54E-31,1.28E-33,15.593106,65.8582,1.1518695,DCAKD,dephospho-CoA kinase domain containing
217791_s_at,2.74E-31,1.39E-33,-15.579746,65.77714,-3.2397731,ALDH18A1,aldehyde dehydrogenase 18 family member A1
1554747_a_at,5.81E-31,2.96E-33,-15.455907,65.02504,-4.5305909,2-Sep,septin 2
228653_at,6.30E-31,3.22E-33,15.441775,64.93913,3.8761246,SAMD5,sterile alpha motif domain containing 5
222442_s_at,6.67E-31,3.44E-33,-15.431228,64.875,-3.3968025,ARL8B,ADP ribosylation factor like GTPase 8B
1566303_s_at,7.44E-31,3.86E-33,-15.412386,64.76041,-3.6234298,PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11
212008_at,7.70E-31,4.02E-33,-15.4058,64.72035,-5.0884749,UBXN4,UBX domain protein 4
202593_s_at,7.78E-31,4.09E-33,-15.40306,64.70368,-4.7309634,GDE1,glycerophosphodiester phosphodiesterase 1
222976_s_at,8.44E-31,4.46E-33,-15.388687,64.61623,-2.0972464,TPM3,tropomyosin 3
229985_at,8.69E-31,4.63E-33,15.382893,64.58098,5.5554083,BTNL9,butyrophilin like 9
212168_at,9.15E-31,4.90E-33,-15.373537,64.52405,-2.1974391,RBM12,RNA binding motif protein 12
224546_at,9.62E-31,5.18E-33,15.364321,64.46795,0.9089858,,
202374_s_at,1.16E-30,6.28E-33,-15.332934,64.27687,-3.479369,RAB3GAP2///AURKAPS1,RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1
1568954_s_at,1.19E-30,6.52E-33,-15.327005,64.24076,-3.3966274,C16orf72,chromosome 16 open reading frame 72
230992_at,1.20E-30,6.63E-33,15.324139,64.22331,3.4307534,BTNL9,butyrophilin like 9
222981_s_at,1.20E-30,6.64E-33,-15.323954,64.22218,-3.0786448,RAB10,"RAB10, member RAS oncogene family"
232540_x_at,1.25E-30,6.96E-33,15.316196,64.17493,2.2721309,,
201585_s_at,1.30E-30,7.26E-33,-15.309357,64.13328,-2.3838157,SFPQ,splicing factor proline and glutamine rich
200751_s_at,1.34E-30,7.54E-33,-15.303257,64.09612,-3.2574447,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
233997_at,1.39E-30,7.87E-33,15.296288,64.05366,1.5511144,LOC101930064///LOC100287166,collagen alpha-1(I) chain-like///uncharacterized LOC100287166
200728_at,1.45E-30,8.23E-33,-15.289037,64.00948,-2.45453,ACTR2,ARP2 actin related protein 2 homolog
200744_s_at,2.02E-30,1.15E-32,-15.233846,63.67308,-3.3959353,GNB1,G protein subunit beta 1
226319_s_at,2.02E-30,1.16E-32,-15.232713,63.66617,-5.6070085,ALYREF,Aly/REF export factor
212595_s_at,2.05E-30,1.19E-32,-15.228962,63.6433,-4.3988702,DAZAP2,DAZ associated protein 2
208932_at,2.23E-30,1.30E-32,-15.215054,63.55847,-2.4907742,PPP4C,protein phosphatase 4 catalytic subunit
201663_s_at,2.53E-30,1.48E-32,-15.1931,63.42455,-5.8963071,SMC4,structural maintenance of chromosomes 4
232495_x_at,2.94E-30,1.73E-32,15.167999,63.27138,1.6371526,,
229021_at,3.35E-30,1.99E-32,15.145474,63.13389,1.2766546,MCTP2,multiple C2 and transmembrane domain containing 2
1556364_at,3.70E-30,2.20E-32,15.128834,63.03229,3.9143671,ADAMTS9-AS2,ADAMTS9 antisense RNA 2
1556427_s_at,3.94E-30,2.36E-32,15.117409,62.96252,4.5547677,LRRN4CL,LRRN4 C-terminal like
217356_s_at,4.34E-30,2.62E-32,-15.100868,62.86149,-4.4110799,PGK1,phosphoglycerate kinase 1
232911_at,4.70E-30,2.85E-32,15.087195,62.77796,1.2428547,ZFP14,ZFP14 zinc finger protein
1558727_at,4.86E-30,2.96E-32,15.080693,62.73823,1.0696624,SERP2,stress-associated endoplasmic reticulum protein family member 2
202166_s_at,5.31E-30,3.25E-32,-15.065467,62.64519,-3.5813619,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2
205292_s_at,6.27E-30,3.86E-32,-15.037654,62.47518,-1.5952512,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1
1555226_s_at,6.45E-30,3.99E-32,-15.032212,62.44191,-4.7652973,C1orf43,chromosome 1 open reading frame 43
200828_s_at,7.04E-30,4.38E-32,-15.017087,62.34942,-3.442244,ZNF207,zinc finger protein 207
1564547_x_at,7.85E-30,4.91E-32,14.998466,62.23553,1.1313818,,
219064_at,9.05E-30,5.69E-32,14.974602,62.08954,5.4898887,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
1552519_at,9.35E-30,5.92E-32,14.968344,62.05125,4.4511226,ACVR1C,activin A receptor type 1C
1558254_s_at,1.00E-29,6.36E-32,-14.956571,61.97921,-3.8449722,SRPK2,SRSF protein kinase 2
221079_s_at,1.15E-29,7.33E-32,-14.933556,61.83833,-3.0253603,METTL2A///METTL2B,methyltransferase like 2A///methyltransferase like 2B
243481_at,1.26E-29,8.11E-32,14.917204,61.73822,2.6833924,RHOJ,ras homolog family member J
208867_s_at,1.48E-29,9.55E-32,-14.890662,61.57567,-3.9118961,CSNK1A1,casein kinase 1 alpha 1
212016_s_at,1.68E-29,1.09E-31,-14.869307,61.44486,-3.6028908,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1
212271_at,1.71E-29,1.12E-31,-14.864955,61.41819,-3.819935,MAPK1,mitogen-activated protein kinase 1
224982_at,3.06E-29,2.01E-31,-14.770396,60.83848,-3.2951342,AKT1S1,AKT1 substrate 1
1555618_s_at,3.13E-29,2.07E-31,-14.765653,60.80939,-4.2226751,SAE1,SUMO1 activating enzyme subunit 1
200641_s_at,3.52E-29,2.33E-31,-14.746082,60.68931,-5.442849,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
218360_at,4.38E-29,2.92E-31,-14.710003,60.46789,-3.6947773,RAB22A,"RAB22A, member RAS oncogene family"
227419_x_at,4.54E-29,3.04E-31,14.7032,60.42613,4.8600939,PLAC9,placenta specific 9
200778_s_at,4.97E-29,3.34E-31,-14.687991,60.33275,-3.7872053,2-Sep,septin 2
208952_s_at,5.34E-29,3.61E-31,-14.675527,60.25621,-4.3110865,LARP4B,La ribonucleoprotein domain family member 4B
201376_s_at,5.38E-29,3.66E-31,-14.673384,60.24305,-3.1886189,HNRNPF,heterogeneous nuclear ribonucleoprotein F
203812_at,5.38E-29,3.67E-31,14.672677,60.23871,2.8763358,SLIT3,slit guidance ligand 3
200008_s_at,5.70E-29,3.91E-31,-14.662567,60.17662,-4.5295714,GDI2,GDP dissociation inhibitor 2
204997_at,5.71E-29,3.94E-31,14.661355,60.16917,4.013898,GPD1,glycerol-3-phosphate dehydrogenase 1
216593_s_at,6.09E-29,4.22E-31,-14.650188,60.10058,-3.7703026,PIGC,phosphatidylinositol glycan anchor biosynthesis class C
204427_s_at,6.83E-29,4.75E-31,-14.631039,59.98294,-5.2639074,TMED2,transmembrane p24 trafficking protein 2
1554365_a_at,7.24E-29,5.07E-31,-14.620504,59.91821,-3.5122069,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
201971_s_at,7.24E-29,5.09E-31,-14.619896,59.91447,-5.0874493,ATP6V1A,ATPase H+ transporting V1 subunit A
201821_s_at,7.59E-29,5.38E-31,-14.611117,59.86052,-3.1218006,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast)
216479_at,7.59E-29,5.39E-31,14.610786,59.85849,1.2468373,RPL21P28///SNORA27///SNORD102///RPL21,"ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21"
1555278_a_at,7.70E-29,5.49E-31,-14.607779,59.84,-3.3306084,CKAP5,cytoskeleton associated protein 5
244368_x_at,8.08E-29,5.79E-31,14.599024,59.78619,1.6117076,SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone"
214845_s_at,8.08E-29,5.81E-31,-14.598458,59.78272,-4.7627015,CALU,calumenin
212322_at,8.87E-29,6.41E-31,-14.582598,59.68522,-3.0278504,SGPL1,sphingosine-1-phosphate lyase 1
244876_at,9.08E-29,6.60E-31,14.578047,59.65724,4.5612782,,
216591_s_at,1.11E-28,8.08E-31,-14.545373,59.45633,-4.492814,SDHC,succinate dehydrogenase complex subunit C
202899_s_at,1.20E-28,8.81E-31,-14.531386,59.3703,-2.881013,SRSF3,serine and arginine rich splicing factor 3
226825_s_at,1.55E-28,1.15E-30,-14.488676,59.10752,-4.9267143,TMEM165,transmembrane protein 165
210051_at,1.55E-28,1.15E-30,14.488404,59.10585,4.2783968,RAPGEF3,Rap guanine nucleotide exchange factor 3
1554441_a_at,1.99E-28,1.48E-30,-14.44811,58.85782,-3.4194105,WAPL,WAPL cohesin release factor
222420_s_at,2.04E-28,1.53E-30,-14.442798,58.82512,-3.9005221,UBE2H,ubiquitin conjugating enzyme E2 H
212229_s_at,2.52E-28,1.89E-30,-14.408176,58.6119,-2.9490907,FBXO21,F-box protein 21
214882_s_at,2.58E-28,1.94E-30,-14.40406,58.58655,-2.2369028,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2
210541_s_at,2.61E-28,1.98E-30,-14.401027,58.56787,-2.9158358,TRIM27,tripartite motif containing 27
233307_x_at,2.68E-28,2.04E-30,14.396166,58.53792,1.0274089,MGST3,microsomal glutathione S-transferase 3
221928_at,2.81E-28,2.15E-30,14.387747,58.48606,4.8344452,ACACB,acetyl-CoA carboxylase beta
201179_s_at,2.90E-28,2.23E-30,-14.381974,58.45049,-3.2387416,GNAI3,G protein subunit alpha i3
218129_s_at,2.99E-28,2.30E-30,-14.3766,58.41738,-3.1392988,NFYB,nuclear transcription factor Y subunit beta
232502_at,3.12E-28,2.41E-30,14.368944,58.37021,1.0475991,LOC101927104///ENTPD1-AS1,uncharacterized LOC101927104///ENTPD1 antisense RNA 1
236856_x_at,3.23E-28,2.51E-30,14.362821,58.33248,3.3081746,,
208744_x_at,3.44E-28,2.68E-30,-14.351706,58.26398,-4.0898839,HSPH1,heat shock protein family H (Hsp110) member 1
209882_at,3.45E-28,2.70E-30,-14.350833,58.2586,-3.9564791,RIT1,Ras like without CAAX 1
242452_at,3.64E-28,2.86E-30,14.341394,58.20042,3.2597344,,
201386_s_at,3.65E-28,2.88E-30,-14.340135,58.19266,-3.3689714,DHX15,DEAH-box helicase 15
216051_x_at,3.86E-28,3.06E-30,14.330388,58.13258,1.3274329,PRINS,psoriasis associated non-protein coding RNA induced by stress
1559821_at,3.95E-28,3.15E-30,14.326061,58.10591,0.896067,,
