ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_2221507,7.29E-09,6.46E-12,-54.2751357,17.95986,-7.55853295,913402860,F2R,coagulation factor II thrombin receptor
ILMN_2143795,7.50E-09,6.83E-12,-53.9087094,17.91268,-5.06291764,NA,,
ILMN_2288483,7.59E-09,7.17E-12,-53.5976364,17.87224,-5.32700009,612149755,CEP19,centrosomal protein 19
ILMN_1711766,7.59E-09,7.44E-12,-53.3567529,17.84069,-4.35324857,160420325,SKP1,S-phase kinase-associated protein 1
ILMN_1716693,7.59E-09,7.47E-12,53.3287549,17.83701,4.07829956,156151367,FAHD2CP,"fumarylacetoacetate hydrolase domain containing 2C, pseudogene"
ILMN_2255021,7.81E-09,7.88E-12,52.9904789,17.7923,6.27657348,460838702,ARPC2,actin related protein 2/3 complex subunit 2
ILMN_2235785,8.52E-09,9.07E-12,-52.1043829,17.67318,-6.01969031,524550428,KCNH6,potassium voltage-gated channel subfamily H member 6
ILMN_2107607,8.52E-09,9.11E-12,52.0731404,17.66892,4.52459099,223029492,RCN2,reticulocalbin 2
ILMN_2093810,8.52E-09,9.23E-12,51.9948959,17.65825,6.08354506,304766540,POMP,proteasome maturation protein
ILMN_2219628,8.95E-09,9.91E-12,51.5470429,17.59671,4.72521126,357430791,SSB,Sjogren syndrome antigen B
ILMN_1665148,9.33E-09,1.07E-11,-51.1000612,17.53451,-6.96313525,NA,,
ILMN_2054928,9.33E-09,1.08E-11,-51.0160436,17.52273,-6.95585713,325651935,XPNPEP3,X-prolyl aminopeptidase 3
ILMN_2207720,1.06E-08,1.25E-11,50.113111,17.39433,7.49592987,221316670,ITM2B,integral membrane protein 2B
ILMN_2245180,1.09E-08,1.32E-11,49.805984,17.3499,6.0011968,211971045,BUB3,"BUB3, mitotic checkpoint protein"
ILMN_2168866,1.11E-08,1.37E-11,49.578078,17.31667,4.90497313,215490075,C6orf62,chromosome 6 open reading frame 62
ILMN_1655163,1.14E-08,1.45E-11,-49.2472823,17.26804,-6.08007477,557786218,STK24,serine/threonine kinase 24
ILMN_1745385,1.14E-08,1.46E-11,-49.217104,17.26359,-6.65978429,345091004,HNRNPM,heterogeneous nuclear ribonucleoprotein M
ILMN_1682988,1.16E-08,1.53E-11,48.9140095,17.21858,4.11714953,378925640,RNF34,ring finger protein 34
ILMN_1683049,1.16E-08,1.55E-11,48.8612721,17.21071,4.91417252,NA,,
ILMN_2072568,1.16E-08,1.57E-11,48.7813495,17.19876,5.67642726,297206863,CLDN8,claudin 8
ILMN_1705442,1.17E-08,1.62E-11,-48.5891184,17.1699,-4.49833093,313569850,CMTM3,CKLF like MARVEL transmembrane domain containing 3
ILMN_2076567,1.25E-08,1.75E-11,48.1448625,17.10259,4.13161208,12025664,UBE2V2,ubiquitin conjugating enzyme E2 V2
ILMN_1784665,1.26E-08,1.83E-11,47.888005,17.06327,5.88967098,NA,,
ILMN_2213247,1.26E-08,1.83E-11,47.8760529,17.06143,4.74025463,162417970,SPCS2,signal peptidase complex subunit 2
ILMN_2204983,1.27E-08,1.88E-11,47.7222779,17.03774,3.83318804,317108154,DCTN6,dynactin subunit 6
ILMN_2112524,1.28E-08,1.93E-11,47.5759378,17.01509,4.27345345,284447286,RNF149,ring finger protein 149
ILMN_1768953,1.36E-08,2.10E-11,47.1015434,16.941,3.59379465,55925657,SDC1,syndecan 1
ILMN_2082244,1.36E-08,2.11E-11,-47.0622274,16.93481,-3.42048693,82546823,FOXK1,forkhead box K1
ILMN_1680134,1.39E-08,2.20E-11,-46.8236675,16.89712,-5.78700675,40288287,CARM1,coactivator associated arginine methyltransferase 1
ILMN_1795026,1.39E-08,2.26E-11,-46.67704,16.87381,-5.00825248,38146115,FAM189B,family with sequence similarity 189 member B
ILMN_2234016,1.39E-08,2.28E-11,-46.6385573,16.86768,-7.5150816,NA,,
ILMN_2387696,1.39E-08,2.33E-11,-46.5114051,16.84737,-7.98707762,150417990,CCR6,C-C motif chemokine receptor 6
ILMN_2204826,1.39E-08,2.33E-11,46.5088361,16.84695,5.66016591,62530390,SEPP1,"selenoprotein P, plasma, 1"
ILMN_1815673,1.42E-08,2.41E-11,-46.3223402,16.81702,-4.20881935,66346686,DKK3,dickkopf WNT signaling pathway inhibitor 3
ILMN_2346997,1.43E-08,2.47E-11,-46.1802279,16.79409,-5.13443903,523425711,RAB23,"RAB23, member RAS oncogene family"
ILMN_2111323,1.54E-08,2.70E-11,45.6914571,16.7145,3.90298841,371875333,PDCD6IP,programmed cell death 6 interacting protein
ILMN_2148290,1.60E-08,2.84E-11,-45.4101493,16.66815,-3.79851501,22027540,PDCD7,programmed cell death 7
ILMN_1728870,1.62E-08,2.91E-11,45.2676621,16.64453,5.30902469,698980011,DDX3X,"DEAD-box helicase 3, X-linked"
ILMN_1721669,1.68E-08,3.06E-11,-45.0061287,16.60089,-5.56573907,NA,,
ILMN_2227368,1.88E-08,3.47E-11,44.3205437,16.48486,3.51209745,42789379,SELT,selenoprotein T
ILMN_2167922,1.89E-08,3.54E-11,-44.2169648,16.46712,-6.36152852,612339293,TRMT5,tRNA methyltransferase 5
ILMN_2381397,2.05E-08,3.98E-11,-43.605366,16.36119,-6.65352962,41399283,HSPD1,heat shock protein family D (Hsp60) member 1
ILMN_2098433,2.05E-08,3.98E-11,43.5952142,16.35941,4.89648295,54400739,ST13P4,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4
ILMN_1787410,2.05E-08,4.00E-11,-43.5784175,16.35648,-4.97158181,392494082,EIF6,eukaryotic translation initiation factor 6
ILMN_1678501,2.15E-08,4.23E-11,43.2784813,16.30375,5.63022167,1002341764,ADD3,adducin 3
ILMN_1899936,2.32E-08,4.62E-11,42.8216822,16.22249,4.43108532,306035185,TMEM99,transmembrane protein 99
ILMN_2157932,2.38E-08,4.81E-11,42.6195586,16.18617,4.47499417,153285459,FRMD8,FERM domain containing 8
ILMN_1781454,2.43E-08,4.97E-11,-42.4522658,16.15593,-4.71496323,62739174,RAE1,ribonucleic acid export 1
ILMN_1737184,2.46E-08,5.09E-11,-42.3223678,16.13234,-5.113977,88999585,CDCA7,cell division cycle associated 7
ILMN_2135232,2.48E-08,5.18E-11,42.2361899,16.11664,4.30882564,194239695,SRSF3,serine and arginine rich splicing factor 3
ILMN_1747665,2.48E-08,5.24E-11,42.1747565,16.10542,5.48449916,545478449,2-Sep,septin 2
ILMN_2147306,2.51E-08,5.39E-11,-42.0368354,16.08015,-3.8136421,209969688,PNRC2,proline rich nuclear receptor coactivator 2
ILMN_2215061,2.64E-08,5.73E-11,-41.7286083,16.02328,-7.67349225,313661351,ORC6,origin recognition complex subunit 6
ILMN_2050434,2.68E-08,5.87E-11,-41.6066344,16.00062,-7.76898054,153070786,TUBA3FP,tubulin alpha 3f pseudogene
ILMN_1680831,2.79E-08,6.17E-11,-41.3519019,15.95301,-3.47256183,NA,,
ILMN_1701774,2.83E-08,6.33E-11,41.2245863,15.92907,3.25699541,998429219,AP3M1,adaptor related protein complex 3 mu 1 subunit
ILMN_2139061,2.91E-08,6.59E-11,41.0312526,15.89254,3.62974356,219842260,COPS2,COP9 signalosome subunit 2
ILMN_1806867,2.94E-08,6.73E-11,-40.9244576,15.87225,-3.21438091,386869321,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G"
ILMN_1815012,2.95E-08,6.83E-11,-40.8476318,15.85762,-3.84703831,536290244,EXOC7,exocyst complex component 7
ILMN_1669102,2.98E-08,6.97E-11,40.7512389,15.83921,6.63502543,85794839,ATP5G2,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9)"
ILMN_1653750,3.09E-08,7.32E-11,40.5121869,15.79331,4.43404992,30179898,SOX10,SRY-box 10
ILMN_1807136,3.09E-08,7.39E-11,-40.4659208,15.78438,-3.33707383,NA,,
ILMN_1683120,3.16E-08,7.63E-11,-40.3059963,15.75343,-3.76582093,310923204,UNG,uracil DNA glycosylase
ILMN_1741942,3.26E-08,7.95E-11,-40.1100391,15.71529,-5.34293038,325652072,STX16,syntaxin 16
ILMN_2215370,3.30E-08,8.11E-11,40.0109397,15.6959,5.18026379,33946331,WWP1,WW domain containing E3 ubiquitin protein ligase 1
ILMN_2079285,3.35E-08,8.34E-11,39.8768683,15.66958,4.86630023,51479155,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G"
ILMN_1776216,3.38E-08,8.50E-11,-39.7862732,15.65173,-4.67798748,27735036,MMGT1,membrane magnesium transporter 1
ILMN_2089977,3.38E-08,8.56E-11,-39.7520272,15.64496,-4.68152093,NA,,
ILMN_1753166,3.41E-08,8.79E-11,39.6281521,15.62044,3.86682163,323362994,MOB4,"MOB family member 4, phocein"
ILMN_1766713,3.41E-08,8.80E-11,-39.6188803,15.6186,-6.19329089,41399283,HSPD1,heat shock protein family D (Hsp60) member 1
ILMN_1766983,3.52E-08,9.19E-11,39.4127128,15.57755,3.54881134,48928049,FBXW11,F-box and WD repeat domain containing 11
ILMN_1655177,3.52E-08,9.28E-11,-39.3673124,15.56848,-3.87187439,NA,,
ILMN_1740345,3.58E-08,9.52E-11,39.2450308,15.54396,4.50300259,40806217,THYN1,thymocyte nuclear protein 1
ILMN_2152387,3.74E-08,1.00E-10,38.9985527,15.49425,3.80545259,431822373,DOCK7,dedicator of cytokinesis 7
ILMN_2091084,3.79E-08,1.03E-10,-38.8976369,15.47378,-5.55031769,307611961,C8orf37,chromosome 8 open reading frame 37
ILMN_1692169,3.83E-08,1.05E-10,38.798698,15.45364,6.03389915,335335009,NAA20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit"
ILMN_1777854,3.85E-08,1.06E-10,38.7365891,15.44097,4.52185872,224589070,BMS1,"BMS1, ribosome biogenesis factor"
ILMN_1784227,3.99E-08,1.14E-10,-38.4080662,15.3735,-4.62236139,507588240,MCRS1,microspherule protein 1
ILMN_2182482,3.99E-08,1.15E-10,-38.352792,15.36207,-5.99082895,190358503,SHCBP1,SHC binding and spindle associated 1
ILMN_1746676,3.99E-08,1.16E-10,38.3329227,15.35796,5.53385459,297206863,CLDN8,claudin 8
ILMN_2211724,3.99E-08,1.16E-10,-38.3325673,15.35789,-6.42583244,NA,,
ILMN_1655950,3.99E-08,1.17E-10,38.2942159,15.34994,4.9357304,323510645,ZHX1,zinc fingers and homeoboxes 1
ILMN_2139100,3.99E-08,1.17E-10,-38.2850096,15.34803,-4.34375823,441418783,SHISA5,shisa family member 5
ILMN_1774938,3.99E-08,1.17E-10,38.2726986,15.34548,4.90231623,320202989,AKR1A1,aldo-keto reductase family 1 member A1
ILMN_1672987,3.99E-08,1.18E-10,38.25206,15.3412,5.75897437,NA,,
ILMN_2147251,4.01E-08,1.19E-10,-38.1861981,15.32751,-4.73308722,NA,,
ILMN_1800267,4.05E-08,1.22E-10,38.1022802,15.31003,3.21850274,387942375,FAM13A,family with sequence similarity 13 member A
ILMN_2052598,4.12E-08,1.26E-10,-37.952467,15.2787,-3.67638583,347446691,ARMC10,armadillo repeat containing 10
ILMN_1761865,4.12E-08,1.26E-10,37.9521906,15.27864,3.88801889,NA,,
ILMN_1703791,4.15E-08,1.28E-10,-37.8814935,15.2638,-4.75412605,1003701569,ANXA7,annexin A7
ILMN_1667230,4.34E-08,1.35E-10,37.640567,15.21296,3.52416205,304307767,C21orf59,chromosome 21 open reading frame 59
ILMN_1703288,4.44E-08,1.40E-10,-37.468814,15.17646,-3.02555246,74229024,TMEM259,transmembrane protein 259
ILMN_2297069,4.44E-08,1.40E-10,-37.4584916,15.17426,-5.74079751,332635038,TCAF1,TRPM8 channel associated factor 1
ILMN_2279413,4.44E-08,1.41E-10,37.4304349,15.16828,4.73428306,55749556,SIAH1,siah E3 ubiquitin protein ligase 1
ILMN_1703433,4.62E-08,1.48E-10,-37.219915,15.1232,-5.07739092,320118920,PLSCR3,phospholipid scramblase 3
ILMN_1690638,4.64E-08,1.50E-10,37.1621503,15.11077,4.95894308,NA,,
ILMN_1736562,4.65E-08,1.51E-10,-37.1143978,15.10048,-3.18635765,215272322,TRIM39,tripartite motif containing 39
ILMN_1772692,4.80E-08,1.57E-10,-36.9387322,15.06248,-3.42464137,618468327,DICER1,"dicer 1, ribonuclease III"
ILMN_2307450,4.94E-08,1.63E-10,-36.7821213,15.02841,-3.47793699,574584520,ZNF302,zinc finger protein 302
ILMN_2105441,5.12E-08,1.70E-10,36.5862233,14.98553,6.94050747,189491638,JCHAIN,joining chain of multimeric IgA and IgM
ILMN_1799289,5.12E-08,1.71E-10,-36.5570884,14.97913,-3.29775545,169646393,MRPL55,mitochondrial ribosomal protein L55
ILMN_1677464,5.24E-08,1.77E-10,36.4210096,14.94915,3.4332243,62912473,LGR6,leucine rich repeat containing G protein-coupled receptor 6
ILMN_1793360,5.37E-08,1.83E-10,-36.2605721,14.91362,-2.72111261,302058293,APITD1,"apoptosis-inducing, TAF9-like domain 1"
ILMN_2090987,5.37E-08,1.84E-10,36.2509824,14.91149,3.9904923,209977043,UTP3,"UTP3, small subunit processome component homolog (S. cerevisiae)"
ILMN_1659564,5.46E-08,1.88E-10,-36.1457765,14.88808,-3.87092377,60218911,SEC61A1,Sec61 translocon alpha 1 subunit
ILMN_1717173,5.69E-08,1.98E-10,-35.9198127,14.8375,-4.26895553,385198077,ECT2,epithelial cell transforming 2
ILMN_1755115,5.69E-08,2.00E-10,35.883533,14.82935,3.8212717,78190459,RPL23,ribosomal protein L23
ILMN_1692219,5.69E-08,2.01E-10,-35.8514461,14.82212,-3.06643359,289547523,RAB11FIP1,RAB11 family interacting protein 1
ILMN_1804476,5.69E-08,2.02E-10,-35.8472336,14.82117,-3.63697244,302058303,GMPPA,GDP-mannose pyrophosphorylase A
ILMN_2173909,5.86E-08,2.09E-10,35.6904858,14.78577,7.51388704,38045951,ZNF14,zinc finger protein 14
ILMN_1805481,6.02E-08,2.16E-10,-35.5453397,14.75281,-2.86385606,94420682,TRMT11,tRNA methyltransferase 11 homolog
ILMN_1795429,6.03E-08,2.18E-10,-35.5037645,14.74334,-7.16018127,50593530,VCL,vinculin
ILMN_1684434,6.05E-08,2.22E-10,35.4384137,14.72843,4.04695105,170650707,SLC17A5,solute carrier family 17 member 5
ILMN_1654445,6.05E-08,2.22E-10,35.4363668,14.72796,2.89799271,NA,,
ILMN_1661174,6.34E-08,2.34E-10,35.2054502,14.67498,3.33524797,NA,,
ILMN_1733747,7.05E-08,2.62E-10,34.7331156,14.56526,3.97744047,NA,,
ILMN_2310589,7.10E-08,2.67E-10,-34.6497058,14.5457,-5.18752944,508083039,DIABLO,diablo IAP-binding mitochondrial protein
ILMN_1746206,7.10E-08,2.68E-10,-34.6439108,14.54434,-3.02041555,984880704,CEP131,centrosomal protein 131
ILMN_2206746,7.25E-08,2.78E-10,-34.4904424,14.50818,-5.89750213,953266483,BGN,biglycan
ILMN_2116811,7.25E-08,2.80E-10,34.450916,14.49883,3.2703125,81174548,FAM220A,family with sequence similarity 220 member A
ILMN_1690494,7.25E-08,2.80E-10,-34.4509137,14.49883,-7.09649962,992319632,RPL6,ribosomal protein L6
ILMN_2142284,7.25E-08,2.81E-10,-34.4434092,14.49706,-3.80356039,282165757,SLC25A43,solute carrier family 25 member 43
ILMN_1764185,7.25E-08,2.82E-10,34.4255265,14.49282,4.11772371,744066804,CDC37L1,cell division cycle 37 like 1
ILMN_1786359,7.27E-08,2.85E-10,34.3863384,14.48354,3.93604753,NA,,
ILMN_1709891,7.59E-08,3.00E-10,34.1697438,14.43198,3.00610898,NA,,
ILMN_2045975,7.59E-08,3.01E-10,34.1564222,14.4288,4.04430409,189458850,ORMDL1,ORMDL sphingolipid biosynthesis regulator 1
ILMN_2113362,7.93E-08,3.16E-10,33.9523288,14.37982,5.52639783,924966241,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
ILMN_2078074,8.00E-08,3.21E-10,33.8896373,14.36471,3.59952435,296010795,MUT,methylmalonyl-CoA mutase
ILMN_1679796,8.02E-08,3.24E-10,33.8527477,14.3558,2.43783594,208609996,TOMM20,translocase of outer mitochondrial membrane 20
ILMN_2235745,8.12E-08,3.30E-10,-33.7808638,14.3384,-4.39858626,NA,,
ILMN_1771801,8.12E-08,3.32E-10,-33.7540245,14.3319,-2.37298759,94538338,SIRPG,signal regulatory protein gamma
ILMN_1753862,8.26E-08,3.42E-10,-33.6278986,14.30123,-5.10324431,NA,,
ILMN_2133146,8.26E-08,3.43E-10,33.6195736,14.2992,3.71549725,59889569,NUDT21,nudix hydrolase 21
ILMN_2325998,8.26E-08,3.44E-10,33.6122659,14.29742,3.0549567,156671210,ICK,intestinal cell (MAK-like) kinase
ILMN_1668766,8.28E-08,3.46E-10,33.5790862,14.28933,5.29508682,960513916,ROPN1,rhophilin associated tail protein 1
ILMN_2209027,8.31E-08,3.52E-10,-33.5182993,14.27448,-5.57900469,71559137,RPS26,ribosomal protein S26
ILMN_2378048,8.31E-08,3.52E-10,-33.5162222,14.27397,-4.74383558,970598245,HNRNPK,heterogeneous nuclear ribonucleoprotein K
ILMN_1803956,8.40E-08,3.58E-10,33.4473509,14.2571,3.12153979,688955549,BOC,"BOC cell adhesion associated, oncogene regulated"
ILMN_1797806,8.47E-08,3.63E-10,33.3920764,14.24353,5.34136311,56550054,CGGBP1,CGG triplet repeat binding protein 1
ILMN_2089073,8.61E-08,3.71E-10,-33.3026958,14.22153,-5.01921989,731441393,ATP9A,ATPase phospholipid transporting 9A (putative)
ILMN_2048607,8.86E-08,3.84E-10,-33.1587022,14.18593,-3.23420447,50355986,ANKRD9,ankyrin repeat domain 9
ILMN_2152095,8.86E-08,3.86E-10,33.1395306,14.18118,3.40183249,155030233,DROSHA,drosha ribonuclease III
ILMN_1725090,9.01E-08,3.96E-10,-33.0361743,14.1555,-5.23013525,368711290,CTHRC1,collagen triple helix repeat containing 1
ILMN_1695423,9.01E-08,3.97E-10,33.029694,14.15388,4.01221407,319738657,CD9,CD9 molecule
ILMN_2207816,9.06E-08,4.01E-10,32.9865144,14.14312,2.83544851,222352139,DTWD1,DTW domain containing 1
ILMN_2073289,9.21E-08,4.11E-10,-32.8886467,14.11867,-3.24040388,545477639,MTSS1,metastasis suppressor 1
ILMN_2101928,9.21E-08,4.13E-10,32.8775733,14.1159,4.83820006,186287258,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 (H)
ILMN_1776857,9.23E-08,4.17E-10,32.8330958,14.10475,4.09604745,297307114,AQP1,aquaporin 1 (Colton blood group)
ILMN_1758728,9.23E-08,4.18E-10,-32.8225163,14.1021,-2.84358559,4759335,FANCG,Fanconi anemia complementation group G
ILMN_1697922,9.26E-08,4.22E-10,32.7902967,14.09401,3.56562735,NA,,
ILMN_1760087,9.31E-08,4.28E-10,32.7343619,14.07994,6.38901657,171543859,SLC26A3,solute carrier family 26 member 3
ILMN_1708382,9.31E-08,4.29E-10,-32.7236008,14.07724,-2.71235278,89145414,ELP6,elongator acetyltransferase complex subunit 6
ILMN_2402090,9.33E-08,4.32E-10,32.6964796,14.0704,8.24045451,49087144,RPLP0,ribosomal protein lateral stalk subunit P0
ILMN_1672278,9.44E-08,4.41E-10,32.6115051,14.04895,5.12315839,568599835,CXCL16,C-X-C motif chemokine ligand 16
ILMN_1711459,9.44E-08,4.42E-10,32.607028,14.04782,4.95915737,NA,,
ILMN_2288915,1.00E-07,4.71E-10,32.357259,13.98436,3.27845473,NA,,
ILMN_1738707,1.03E-07,4.89E-10,32.2109253,13.94691,3.82295368,66737366,S100A13,S100 calcium binding protein A13
ILMN_2053546,1.04E-07,4.97E-10,32.1490293,13.931,3.16008601,NA,,
ILMN_2399896,1.04E-07,4.99E-10,-32.1298713,13.92607,-3.91609952,NA,,
ILMN_1711210,1.05E-07,5.10E-10,32.0479975,13.90497,2.96938123,55750052,ATN1,atrophin 1
ILMN_2304996,1.05E-07,5.12E-10,32.0302629,13.90039,3.33902493,74271815,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ILMN_1727287,1.05E-07,5.12E-10,32.0290896,13.90008,2.86232382,NA,,
ILMN_2051232,1.05E-07,5.14E-10,-32.0150305,13.89645,-2.97405002,661567358,SDHA,succinate dehydrogenase complex flavoprotein subunit A
ILMN_1694504,1.05E-07,5.14E-10,-32.0138142,13.89614,-2.65034416,985801716,RNF220,ring finger protein 220
ILMN_1803953,1.05E-07,5.19E-10,31.9782386,13.88693,2.58809892,213513397,LINC00493,long intergenic non-protein coding RNA 493
ILMN_2225135,1.06E-07,5.25E-10,31.9310126,13.8747,2.64674704,148277025,GCNT1,"glucosaminyl (N-acetyl) transferase 1, core 2"
ILMN_1750278,1.07E-07,5.32E-10,31.8808909,13.86169,3.13194881,NA,,
ILMN_2077130,1.07E-07,5.34E-10,-31.870329,13.85894,-5.59891244,390517033,MSH3,mutS homolog 3
ILMN_2052790,1.07E-07,5.37E-10,-31.8455166,13.85249,-4.63203643,224028242,NONO,"non-POU domain containing, octamer-binding"
ILMN_2326282,1.08E-07,5.48E-10,-31.7706154,13.83298,-2.09248591,74229024,TMEM259,transmembrane protein 259
ILMN_1689774,1.13E-07,5.77E-10,-31.5704259,13.78055,-3.95989159,221139913,MRFAP1L1,Morf4 family associated protein 1 like 1
ILMN_2230592,1.13E-07,5.77E-10,31.5693863,13.78028,5.46965377,312147300,MRPL3,mitochondrial ribosomal protein L3
ILMN_2128128,1.15E-07,5.88E-10,-31.4995444,13.7619,-4.45292247,5453639,SHFM1,split hand/foot malformation (ectrodactyly) type 1
ILMN_1677481,1.15E-07,5.90E-10,31.4835015,13.75767,2.61780982,222136620,NKIRAS2,NFKB inhibitor interacting Ras like 2
ILMN_1800543,1.16E-07,6.00E-10,-31.4213065,13.74125,-4.93083189,383465578,SCFD1,sec1 family domain containing 1
ILMN_2082035,1.17E-07,6.07E-10,31.3771789,13.72957,3.60633089,214829617,GALNT1,polypeptide N-acetylgalactosaminyltransferase 1
ILMN_1705828,1.23E-07,6.40E-10,31.1748382,13.67579,4.02266985,550544213,RICTOR,RPTOR independent companion of MTOR complex 2
ILMN_2157277,1.26E-07,6.60E-10,-31.0628515,13.64585,-7.14812622,300116269,AKR1D1,"aldo-keto reductase family 1, member D1"
ILMN_1709611,1.26E-07,6.64E-10,-31.0394327,13.63957,-6.04380563,221316703,PSMA1,proteasome subunit alpha 1
ILMN_2161007,1.27E-07,6.73E-10,-30.9859189,13.62521,-6.70118164,211059426,GABPB2,GA binding protein transcription factor beta subunit 2
ILMN_2273683,1.27E-07,6.75E-10,30.9761778,13.62259,3.88641672,525459420,EBAG9,"estrogen receptor binding site associated, antigen, 9"
ILMN_1764778,1.31E-07,7.02E-10,30.827688,13.58256,2.6281218,NA,,
ILMN_1802019,1.34E-07,7.24E-10,30.7176798,13.55275,4.66726533,190358489,FAM198B,family with sequence similarity 198 member B
ILMN_1794294,1.34E-07,7.25E-10,30.7099629,13.55066,5.14423469,58530847,DSTN,"destrin, actin depolymerizing factor"
ILMN_2251253,1.35E-07,7.29E-10,30.6897463,13.54516,5.52349678,342187198,ALDOA,"aldolase, fructose-bisphosphate A"
ILMN_1653794,1.35E-07,7.36E-10,30.6536753,13.53535,3.40283071,157042796,SNHG5,small nucleolar RNA host gene 5
ILMN_1720088,1.35E-07,7.38E-10,30.6432031,13.5325,2.5198382,395455049,SREK1,splicing regulatory glutamic acid and lysine rich protein 1
